"SourcePath","Status","TestCaseId","PlanId","SuiteId","Error"
"C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290757\002-new-magnet-system-type-negative.md","Updated","293471","291616","291678",
"C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290757\003-new-magnet-system-type-applications-field-multi-value.md","Updated","293472","291616","291678",
"C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290757\004-applications-field-multiple-selections.md","Failed",,,,"Test case 'R10.2 Update for CR 286067 - New Magnet System Type: Verify the Applications field supports multiple selections including predefined and custom values (Validation)' has publish blockers:
[BLOCKER] Requirement traceability section is missing or empty."
"C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290757\004-new-magnet-system-type-article-used-as-target-type-negative.md","Updated","293473","291616","291678",
"C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290757\005-erp-article-used-as-target-type-excluded.md","Failed",,,,"Test case 'R10.2 Update for CR 286067 - New Magnet System Type: Verify an ERP article already used as a Target Type is excluded from Magnet System Type creation (Unhappy Path)' has publish blockers:
[BLOCKER] Requirement traceability section is missing or empty."
"C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290757\005-new-magnet-system-type-existing-magnet-system-type-negative.md","Updated","293474","291616","291678",
"C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290757\006-erp-article-used-as-magnet-system-type-excluded.md","Failed",,,,"Test case 'R10.2 Update for CR 286067 - New Magnet System Type: Verify an ERP article already used as a Magnet System Type cannot be used to create a duplicate type (Unhappy Path)' has publish blockers:
[BLOCKER] Requirement traceability section is missing or empty."
"C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290758\001-view-and-upload-documents-for-new-magnet-system-type-happy-path.md","Failed",,,,"Markdown file not found: C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290758\001-view-and-upload-documents-for-new-magnet-system-type-happy-path.md"
"C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290758\002-upload-multiple-documents-happy-path.md","Failed",,,,"No '| Step | Action | Expected Result |' table found in: C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290758\002-upload-multiple-documents-happy-path.md"
"C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290758\003-document-upload-removal-validation-negative.md","Failed",,,,"No '| Step | Action | Expected Result |' table found in: C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290758\003-document-upload-removal-validation-negative.md"
"C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290759\001-view-magnet-system-type-happy-path.md","Updated","293891","291616","291678",
"C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290759\002-view-magnet-system-type-prevent-edit-without-edit-premission.md","Updated","293892","291616","291678",
"C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290760\001-edit-magnet-system-type-happy-path.md","Updated","293893","291616","291678",
"C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290760\002-edit-magnet-system-type-prototype-readonly-fields.md","Updated","293894","291616","291678",
"C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290760\003-edit-magnet-system-type-cancel-with-unsaved-changes.md","Updated","293895","291616","291678",
"C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290760\004-edit-magnet-system-type-back-button-behavior.md","Updated","293896","291616","291678",
"C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290760\004-erp-sourced-fields-readonly-on-prototype-edit.md","Failed",,,,"Test case 'R10.2 Update for CR 286067 - Edit Magnet System Type: Verify ERP-sourced fields are read-only when editing a Prototype Magnet System Type (Validation)' has publish blockers:
[BLOCKER] Requirement traceability section is missing or empty."
"C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290760\005-cancel-edit-does-not-persist-changes.md","Failed",,,,"Test case 'R10.2 Update for CR 286067 - Edit Magnet System Type: Verify cancelling edit with unsaved changes does not persist modifications (Validation)' has publish blockers:
[BLOCKER] Requirement traceability section is missing or empty."
"C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290760\005-edit-magnet-system-type-save-button-availability.md","Updated","293897","291616","291678",
"C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290760\006-back-button-returns-to-detail-page.md","Failed",,,,"Test case 'R10.2 Update for CR 286067 - Edit Magnet System Type: Verify the back button from edit returns the tester to the Magnet System Type detail page (Validation)' has publish blockers:
[BLOCKER] Requirement traceability section is missing or empty."
"C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290760\006-edit-magnet-system-type-prevent-access-without-edit-permission.md","Updated","293898","291616","291678",
"C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290760\007-save-button-enabled-only-on-valid-change.md","Failed",,,,"Test case 'R10.2 Update for CR 286067 - Edit Magnet System Type: Verify Save button is only enabled when a valid change has been made (Validation)' has publish blockers:
[BLOCKER] Requirement traceability section is missing or empty."
"C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290760\008-edit-action-not-available-without-permission.md","Failed",,,,"Test case 'R10.2 Update for CR 286067 - Edit Magnet System Type: Verify the Edit action is not available without edit permission (Security)' has publish blockers:
[BLOCKER] Requirement traceability section is missing or empty."
"C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290761\001-view-and-manage-magnet-system-type-documents-happy-path.md","Updated","293126","291616","291678",
"C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290761\003-remove-document-from-magnet-system-type.md","Failed",,,,"Test case 'R10.2 Update for CR 286067 - View and Manage Magnet System Type Documents: Verify tester can remove a document from a Magnet System Type in edit mode (Happy Path)' has publish blockers:
[BLOCKER] Requirement traceability section is missing or empty."
"C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290761\004-invalid-file-types-rejected-on-upload.md","Failed",,,,"Test case 'R10.2 Update for CR 286067 - View and Manage Magnet System Type Documents: Verify invalid file types are rejected on upload (Unhappy Path)' has publish blockers:
[BLOCKER] Requirement traceability section is missing or empty."
"C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290761\004-view-manage-magnet-system-type-documents-reject-invalid-upload.md","Updated","293806","291616","291678",
"C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290761\005-upload-remove-not-available-without-permission.md","Failed",,,,"Test case 'R10.2 Update for CR 286067 - View and Manage Magnet System Type Documents: Verify upload and remove actions are not available without edit permission (Security)' has publish blockers:
[BLOCKER] Requirement traceability section is missing or empty."
"C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290761\005-view-manage-magnet-system-type-documents-permission-boundaries.md","Updated","293807","291616","291678",
"C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290762\001-magnet-system-type-history-audit.md","Updated","293128","291616","291678",
"C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290762\002-magnet-system-type-prototype-lineage-history.md","Updated","293129","291616","291678",
"C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290762\003-magnet-system-type-prototype-version-chain-history.md","Updated","293811","291616","291678",
"C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290762\003-prototype-creation-history-source-and-variant.md","Failed",,,,"Test case 'R10.2 Update for CR 286067 - Magnet System Type History: Verify prototype creation history records the source type and variant code (Audit)' has publish blockers:
[BLOCKER] Requirement traceability section is missing or empty."
"C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290762\004-promotion-history-predecessor-prototype.md","Failed",,,,"Test case 'R10.2 Update for CR 286067 - Magnet System Type History: Verify promotion history records the predecessor prototype and links to the promoted type (Audit)' has publish blockers:
[BLOCKER] Requirement traceability section is missing or empty."
"C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290763\001-define-magnet-system-type-as-standard-happy-path.md","Updated","293130","291616","291678",
"C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290763\002-define-magnet-system-type-as-standard-uniqueness-validation.md","Updated","293899","291616","291678",
"C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290763\003-create-prototype-from-standard-type.md","Failed",,,,"Test case 'R10.2 Update for CR 286067 - Define Magnet System Type as Standard: Verify tester can create a prototype from a Standard Magnet System Type (Happy Path)' has publish blockers:
[BLOCKER] Requirement traceability section is missing or empty."
"C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290763\003-standard-to-prototype-happy-path.md","Updated","293900","291616","291678",
"C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290763\004-prototype-to-prototype-variant-increment.md","Updated","293901","291616","291678",
"C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290763\004-variant-code-increments-to-v02.md","Failed",,,,"Test case 'R10.2 Update for CR 286067 - Define Magnet System Type as Standard: Verify variant code increments to V02 when a second prototype is created from the same source (Happy Path)' has publish blockers:
[BLOCKER] Requirement traceability section is missing or empty."
"C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290763\005-magnet-systems-remain-linked-after-prototype-promotion.md","Failed",,,,"Test case 'R10.2 Update for CR 286067 - Define Magnet System Type as Standard: Verify existing magnet systems remain linked to the promoted type after a prototype is promoted to Standard (Integration)' has publish blockers:
[BLOCKER] Requirement traceability section is missing or empty."
"C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290763\005-promote-prototype-propagates-to-existing-magnet-systems.md","Updated","293134","291616","291678",
"C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290763\006-article-number-uniqueness-validation.md","Updated","293817","291616","291678",
"C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290763\006-prototype-article-number-rejected-matching-hardware-component.md","Failed",,,,"Test case 'R10.2 Update for CR 286067 - Define Magnet System Type as Standard: Verify prototype article number is rejected when it matches an existing Hardware Component article number (Validation)' has publish blockers:
[BLOCKER] Requirement traceability section is missing or empty."
"C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290764\001-magnet-systems-list-happy-path.md","Updated","293136","291616","291678",
"C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290764\002-magnet-systems-list-inspection-and-retired-filters.md","Updated","293902","291616","291678",
"C:\repos\pf-evatec\peer-factory-evatec-2026-q2\docs\qa-documents\pf-evatec-phase-2\08-releases\r10\r10.2\change-requests\cr-286067-tracking-of-magnet-systems\requirements\requirement-290764\003-checkout-happy-path.md","Failed",,,,"Test case 'R10.2 Update for CR 286067 - Magnet Systems: Verify tester can check out an In Stock magnet system and a checkout history entry is recorded (Happy Path)' has publish blockers:
[BLOCKER] Requirement traceability section is missing or empty."
